# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
58,0,0,1.503171065029973e-09,1.503356551490222e-18,3
59,0,0,5.182224849131037e-10,2.488457017107511e-19,2
60,0,0,1.234975938708137e-10,1.069704015096241e-20,3
61,0,0,3.695627804703923e-09,5.184437204029733e-18,6
62,0,0,3.650495841633403e-09,5.890800302666554e-18,3
63,0,0,1.06554977099466e-09,9.01852833692708e-19,2
64,0,0,8.256956211048014e-10,3.496959184536347e-19,2
65,0,0,7.051528946089705e-10,4.079386966630106e-19,3
66,0,0,1.41175118957766e-10,1.455092118865024e-20,3
67,0,0,3.15086690372471e-11,9.92796224498774e-22,1
68,0,0,4.578413784451911e-11,1.266318453571202e-21,2
69,0,0,1.774307860808196e-09,6.961525411915705e-19,7
70,0,0,3.995409914364619e-10,1.596330038380309e-19,1
71,0,0,4.402655956064896e-10,1.854676532084236e-19,2
72,0,0,8.373104963792742e-10,3.151913578512354e-19,4
73,0,0,7.004829118834108e-09,2.266167676524759e-17,4
74,0,0,1.353883496403014e-10,1.83300052183245e-20,1
75,0,0,2.473086086304305e-09,2.370945598903742e-18,3
76,0,0,4.768911479406845e-11,2.274251669841838e-21,1
77,0,0,9.769433394465627e-11,5.734570016749316e-21,3
78,0,0,0,0,0
79,0,0,4.343094900478439e-10,1.265336863718904e-19,3
80,0,0,2.217730140252978e-10,3.193686677148206e-20,2
81,0,0,1.394345611762743e-09,1.944199685042018e-18,1
82,0,0,2.93945467402391e-09,6.404432116554176e-18,3
83,0,0,0,0,0
84,0,0,0,0,0
85,0,0,1.128365410663265e-09,1.273208499981278e-18,1
86,0,0,3.744011140350964e-10,1.401761941907213e-19,1
87,0,0,0,0,0
88,0,0,0,0,0
89,0,0,1.802909206833755e-09,2.620603705358338e-18,6
90,0,0,5.343123765996355e-10,7.93038096670107e-20,5
91,0,0,7.419356422585697e-10,3.32082687578019e-19,4
92,0,0,1.389888613515347e-10,1.931790357979613e-20,1
93,0,0,8.737988839713691e-11,5.435383706594846e-21,2
94,0,0,1.277187348230681e-09,9.897636845567881e-19,2
95,0,0,3.811091651350001e-09,1.306569896037635e-17,2
96,0,0,1.602461572457346e-09,2.565764853834315e-18,2
97,0,0,9.320794794666201e-09,4.066327448422222e-17,4
98,0,0,2.810119319641954e-09,7.578379364397468e-18,2
99,0,0,0,0,0
100,0,0,2.739802577528365e-10,7.506518163831075e-20,1
101,0,0,3.953323698251497e-09,1.56287682631569e-17,1
102,0,0,3.678025435645562e-10,1.291344735234476e-19,3
103,0,0,1.326552451930249e-09,8.609969755570848e-19,6
104,0,0,1.974282337025383e-09,3.897790746290407e-18,1
105,0,0,2.137128083041875e-09,4.567316443326237e-18,1
106,0,0,2.873332608860463e-09,4.171249821752482e-18,2
107,0,0,4.165878878680239e-09,6.683655095261423e-18,4
108,0,0,3.047972664704715e-09,4.522291655043247e-18,4
109,0,0,3.728331929597183e-09,8.030982213093065e-18,2
110,0,0,7.516951517389391e-10,5.650456011478266e-19,1
111,0,0,2.424338304937327e-09,3.348106123185604e-18,2
112,0,0,1.152193399802306e-10,1.327549630547997e-20,1
113,0,0,1.575379660828222e-09,1.293976969770274e-18,3
114,0,0,3.080090177172974e-09,6.81724549311101e-18,3
115,0,0,5.338651557850695e-10,2.801143451697981e-19,2
