# mesh name: boxMesh_2
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
0,0,82,3.620397025453677e-07,1.740760573695292e-15,110
0,0,83,3.121386470354094e-07,1.498543335138087e-15,101
0,0,84,3.329626212673345e-07,1.688881259802609e-15,99
0,0,85,3.92248693397282e-07,2.150615902789013e-15,110
0,0,86,4.246630541559265e-07,2.475068029123683e-15,112
0,0,87,3.910750088233992e-07,1.875737554876021e-15,123
0,0,88,3.852136019659892e-07,1.953898962781227e-15,109
0,0,89,3.512248315880561e-07,1.743012321044272e-15,110
0,0,90,3.362447457272378e-07,1.730042287474747e-15,103
0,0,91,3.394444661258225e-07,1.792762019898136e-15,96
0,0,92,3.430261069223284e-07,1.725894408810702e-15,105
0,0,93,3.330137575314964e-07,1.573844049656062e-15,120
0,0,94,3.697421122678168e-07,1.872674909846111e-15,112
0,0,95,2.872885686541083e-07,1.569640791408231e-15,89
0,0,96,2.454634111334804e-07,1.003578711074431e-15,89
0,0,97,3.315024440656443e-07,1.613708834652726e-15,102
0,0,98,3.405712557600245e-07,1.65540781993091e-15,107
0,0,99,4.463359667949302e-07,2.466971052747202e-15,132
0,0,100,3.587560120308681e-07,1.614686239478418e-15,117
0,0,101,3.012114344399494e-07,1.384156379263647e-15,99
0,0,102,3.929757430340268e-07,2.283967993750662e-15,105
0,0,103,2.766297284677031e-07,1.352304241755671e-15,97
0,0,104,3.376598807899013e-07,1.908192289032813e-15,93
0,0,105,3.312536461281054e-07,1.926761300834955e-15,92
0,0,106,2.765070422873899e-07,1.182693133403202e-15,95
0,0,107,3.501852483035255e-07,1.804316890076787e-15,102
0,0,108,2.906763412282943e-07,1.438972643204228e-15,95
0,0,109,3.135381926469554e-07,1.554997504203467e-15,96
0,0,110,3.384788815048377e-07,1.738722805921989e-15,103
0,0,111,3.400354129390022e-07,1.617189175770803e-15,106
0,0,112,3.65736098443197e-07,1.673733162622104e-15,129
0,0,113,3.461818974659303e-07,1.656927080294738e-15,110
0,0,114,3.292758665125875e-07,1.488777573487265e-15,112
0,0,115,3.373700092285697e-07,1.526051661301531e-15,115
0,0,116,3.449042537338179e-07,1.52944126823501e-15,119
0,0,117,4.745278700687919e-07,2.468692524480282e-15,129
0,0,118,3.425655880971425e-07,1.709022238302597e-15,109
0,0,119,3.273745077128173e-07,1.590337999817852e-15,103
0,0,120,3.248729518152783e-07,1.655819653595598e-15,101
0,0,121,3.615004384508783e-07,2.199364983162335e-15,103
0,0,122,3.038686853547465e-07,1.332736736778723e-15,106
0,0,123,3.484112053061305e-07,1.821465944051846e-15,100
0,0,124,2.203019242701035e-07,8.881395305307073e-16,82
0,0,125,1.879581292199122e-07,8.307007578588157e-16,58
0,0,126,1.264555261895739e-07,6.049307932316331e-16,45
0,0,127,6.979250869609068e-08,2.589549608729832e-16,27
0,0,128,5.557466368268879e-08,1.639989359872849e-16,27
0,0,129,4.800146330441563e-08,1.878520557521973e-16,19
0,0,130,5.751442880648245e-08,1.991404411465021e-16,20
0,0,131,3.581439203822873e-08,7.613990093657174e-17,21
0,0,132,3.583778296150994e-08,1.171480795766561e-16,17
0,0,133,3.582102440468834e-08,1.212187272951912e-16,15
0,0,134,3.994518116687769e-08,1.512595279422884e-16,14
0,0,135,1.853047023618637e-08,5.624035112084864e-17,9
0,0,136,1.114956229443542e-08,2.747356348201864e-17,5
0,0,137,1.148655318544979e-08,3.418161060320526e-17,8
0,0,138,1.083918554136298e-08,2.692752512745954e-17,8
0,0,139,2.107611384258548e-08,9.52791524328758e-17,7
0,0,140,1.142266889991656e-08,2.630649584050549e-17,6
0,0,141,1.552886516506872e-08,6.142978917546981e-17,6
0,0,142,6.91690002688255e-09,1.656472208641961e-17,3
0,0,143,3.855133002046303e-09,7.589872156647344e-18,2
0,0,144,4.81883155459781e-09,8.115247887298591e-18,3
0,0,145,4.24500608320885e-09,9.059793135769569e-18,2
0,0,146,1.088788208921461e-08,5.940436429602784e-17,2
0,0,147,3.621379067022065e-09,9.727358589358757e-18,2
0,0,148,5.27721520919579e-09,2.002758702503275e-17,3
0,0,149,2.363920146699237e-09,5.588118459970544e-18,1
