Collection name='THashList', class='THashList', size=4
 TKey Name = Event_1, Title = object title, Cycle = 1
 TKey Name = Event_2, Title = object title, Cycle = 1
 TKey Name = Event_3, Title = object title, Cycle = 1
 TKey Name = Event_4, Title = object title, Cycle = 1
Collection: Event_1
Number of hits: 91
  trackID: 31  chamberNb: 2  energy deposit[MeV]: 0.00141497  position[mm]: (1.60305,5.8676,113.907)
  trackID: 30  chamberNb: 2  energy deposit[MeV]: 0.000611284  position[mm]: (1.4899,5.7654,68.8994)
  trackID: 30  chamberNb: 2  energy deposit[MeV]: 0.00597605  position[mm]: (1.51863,5.78099,68.9516)
  trackID: 96  chamberNb: 2  energy deposit[MeV]: 0.0017327  position[mm]: (1.49646,5.77267,68.8937)
  trackID: 15  chamberNb: 0  energy deposit[MeV]: 0.00550572  position[mm]: (0.750014,2.27414,-1447.86)
  trackID: 14  chamberNb: 0  energy deposit[MeV]: 0.00400474  position[mm]: (0.643208,1.93652,-1556.38)
Collection: Event_2
Number of hits: 60
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0152621  position[mm]: (-75.1599,11.9281,-1567.77)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0120824  position[mm]: (-77.9654,12.2913,-1535.5)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.00837302  position[mm]: (-79.836,12.5089,-1514.57)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.00247549  position[mm]: (-80.5885,12.6056,-1506.2)
  trackID: 1  chamberNb: 0  energy deposit[MeV]: 0.0357596  position[mm]: (-90.1924,13.7868,-1400)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.040246  position[mm]: (-151.935,21.8061,-713.958)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.00986865  position[mm]: (-155.582,22.2391,-673.636)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0131167  position[mm]: (-158.466,22.671,-641.972)
  trackID: 1  chamberNb: 1  energy deposit[MeV]: 0.0199725  position[mm]: (-162.203,23.2721,-600)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0006964  position[mm]: (-216.177,31.4832,2.45819)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00128991  position[mm]: (-216.378,31.509,4.66684)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.0153004  position[mm]: (-220.163,31.9813,46.2461)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.045461  position[mm]: (-232.69,33.3319,180.985)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00705474  position[mm]: (-234.094,33.446,196.013)
  trackID: 1  chamberNb: 2  energy deposit[MeV]: 0.00289432  position[mm]: (-234.465,33.4793,200)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00916419  position[mm]: (-292.712,38.0413,831.652)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.00599096  position[mm]: (-294.173,38.1322,848.31)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0150817  position[mm]: (-296.589,38.2698,875.938)
  trackID: 1  chamberNb: 3  energy deposit[MeV]: 0.0491926  position[mm]: (-307.495,38.9154,1000)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.015127  position[mm]: (-363.782,45.8512,1631.58)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00761055  position[mm]: (-366.241,46.15,1660.53)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.0108858  position[mm]: (-368.682,46.4456,1690.29)
  trackID: 1  chamberNb: 4  energy deposit[MeV]: 0.00694555  position[mm]: (-370.704,46.7323,1714.9)
