Evt     Eprim   Etot    LXe     LXeTime PMT     PMTTime Seed1           Seed2           First   Flags
#       MeV     MeV     hits    ns      hits    ns                                      hit

112   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	64	0x1.7720965599decp-18	45	0x1.18818bbd0e3e8p+5	1	36556168	gamma	gamma electron 
113   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	65	0x1.2c9d1b2b1b122p-15	54	0x1.61c480cb69c79p+5	1	36556168	gamma	gamma electron 
114   	0x1.eb851eb851eb9p-5	0x1.12f5cce4abe1dp-7	9	0x1.1ff92756f0ff6p-16	4	0x1.a461e250744f2p+3	1	36556168	gamma	gamma electron 
116   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	71	0x1.19510a45edafep-17	71	0x1.7c56bb22f28dp+5	1	36556168	gamma	gamma electron 
120   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	65	0x1.b720ce10823aep-18	70	0x1.c2c478b428306p+5	1	36556168	gamma	gamma electron 
121   	0x1.eb851eb851eb9p-5	0x1.eb851eb851ebap-5	48	0x1.0d368841187b4p-9	72	0x1.93bdc068bba27p+5	1	36556168	gamma	gamma electron 
124   	0x1.eb851eb851eb9p-5	0x1.5606a576984e8p-5	47	0x1.8db4dd1b3a5abp-16	42	0x1.707337089e7edp+5	1	36556168	gamma	gamma electron 
128   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	59	0x1.66934503f4317p-18	68	0x1.7d391183d3ce5p+5	1	36556168	gamma	gamma electron 
129   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb5p-5	57	0x1.5cebcb84c0b7fp-18	67	0x1.654c861ec174fp+5	1	36556168	gamma	gamma electron 
130   	0x1.eb851eb851eb9p-5	0x1.ef1a6a0e91933p-6	28	0x1.8934227486e55p-16	31	0x1.4871506a04115p+5	1	36556168	gamma	gamma electron 
132   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb9p-5	52	0x1.aca4c171ef853p-18	50	0x1.4ffbd708341f9p+5	1	36556168	gamma	gamma electron 
133   	0x1.eb851eb851eb9p-5	0x1.eb851eb851eb8p-5	60	0x1.5cac7b4ba0c8p-17	55	0x1.42d595c35e43bp+5	1	36556168	gamma	gamma electron 
135   	0x1.eb851eb851eb9p-5	0x1.f47f2ddd88dcbp-6	27	0x1.800c8ba7ac969p-18	27	0x1.989c34b83e921p+5	1	36556168	gamma	gamma electron 
